"Regular Price", "Was From"
"Special Price", "Now"
"As low as", "Now"
"As Low as", "Now"
"Shipping Address", "Delivery Information"
"Excl. Tax", "Exc VAT"
"Incl. Tax", "Inc VAT"
"Excl. Tax:", "Exc VAT"
"Incl. Tax:", "Inc VAT"
"Tax", "VAT"
"Order Total Incl. Tax", "Order Total Incl. VAT"
"Order Total Excl. Tax", "Order Total Excl. VAT"
"State/Province", "County"
"Zip/Postal Code", "Postcode"
"Payment Information", "Registered Cardholder details"
"Shipping Methods", "Choose a Delivery Option"
"Shipping Method:", "Delivery Method:"
"Leave Comment", "Delivery Instructions"
"Customer Login", "Sign In or Create an Account"
"Sign-in Information", "Login Information"
"Create New Customer Account", "Create an Account"
"Related Products","You may also like"
"Do you have any gift items in your order?","Would you like to add a personalised message?"
"Go to Shipping Information","Go to Shipping & Gift Messaging"
"Grand Total (Excl.Tax)", "Grand Total (ex VAT)"
"Grand Total (Incl.Tax)", "Grand Total (inc VAT)"
"Shipping & Handling", "Delivery"